id,body,label,sentiment
0,"@LikeyTamaz $GOOGL $C $BAC $HHC $AMZN $GE $FEYE $WDAY $WSM. Holding all, long",-1,-1
1,$AAPL  spinning top set up...could that be the pause???,1,1
2,Whoa! Is this true @elonmusk?$tsla $tslaq,1,1
3,"July 24 Monday, $AMZN closed $1,038.95",-1,-1
4,$AMZN should buy the Sears Tower in Chicago for HQ2 Just because,0,0
5,Another reason we aren’t as close to true streaming as $GOOGL makes it seem,1,1
6,That's great point about the long-time perma-bulls doing the right thing when $tsla files and apologize to their brain-dead followers.  I'd also love to know what % of longs who bought at the funding secured high-tick still own those cost-basis shares....,1,1
7,"Again Colin Langan from UBS gave out misleading info about $35k Tesla Model 3 margin forecast recently. A sell side analyst been dead wrong about $TSLA PT since 2015 & take a look with his forecast about 2018 Q1 & Q2, dead wrong again! Like @Gfilche said, FUD at all time high now",-1,-1
8,2/12 Low IV Watch List: $GBT $UNG $USO $ADP $TNA $LULU $NKE $LEN $ISRG $SIG $BX $ITB $MA $IWM $TZA $BHGE $EPD $CAT $PAA $AMZN $EWW $FIVE $AAL $ALL $FXI #trading #options,0,0
9,"@ARKInvest may be killing it on $TSLA. I believe they reduced position at the Dec 2018 highs, and just purchased more this week...so like a $100 difference in share price?",1,1
10,CNBC:Can Xiaomi take on Apple in China? $AAPL,0,0
11,"$tsla $tslaq @elonmusk Unsworth brief indeed shows the emperor has no clothes. Unfortunately, that doesn’t move the dial for anyone with financial positions in the security; if you didn’t know Musk is a total fraud before, you’ve long since inculcated yourself from that reality.",-1,-1
12,Charting the history of $AAPL,0,0
13,"Not surprised with $MSFT, I'll continue to click on the cross at the top right hand corner of the notification then.",1,1
14,$AMZN filed US USPTO #trademark for:MUSIC,0,0
15,@MarketWatch $AAPL is now more profitable than $MSFT. Rewind back when  no one believed Apple will ever reach the level of Microsoft.,1,1
16,$AAPL $SHOP ... too clean ,1,1
17,$amzn Hanging on by a thread still,0,0
18,@BeckyQuick @JoeSquawk @ScottWapnerCNBC @TheDomino @jimcramer @carlquintanilla is $MSFT/Xiaomi partnership going to yield a Surface Phone??,0,0
19,$TSLA Back above $265.00.,0,0
20,@paulvigna @ToddinFL Market always harsh $AAPL earnings and couldn't tell you why $203B cash to boot. Any other company die have these #s,-1,-1
21,"You do realize you seem strangely obsessed with this thread, given you have nothing substantive to add to the convo. Right, bro? $TSLA",-1,-1
22,Can you please tell @elonmusk to not take his LSD pills before his $TSLA conf call. Thanks.,1,1
23,"“Guys, plz relax.Goes up and down. Longs hold, shorts fuck off.” $TSLA",-1,-1
24,"Game on for M&A. No time to develop (or fix) a market. In this case, @Uber - Didi. $AAPL and Project Titan. @elonmusk? #disruption",-1,-1
25,No look guess: $aapl unch,0,0
26,Today's million dollar PUT #options trade update:$ACN $CTL $MSFT $TSLA $WDC $AAPL $AMZN $BABA $BIDU $KSS $MMM $MNK $FB $BA $JPM $SWKS $CRM $ORCL ...,0,0
27,$AAPL  just had it's best couple of days in a while  impressed ?,1,1
28,Just saying – don’t bet against the CEO..? $TSLA #Throwback#Tesla up 6x sinceH/T @TheStalwart,0,0
29,"First $GOOG took away #googlereader now they're taking away #chrometophone? I use @Pocket more, but it's a nice tool",1,1
30,How about that Googmonster????  $GOOG $GOOGL,0,0
31,Watching: $MSFT $SWKS $GE - 2nd Watch: $CLF $SLB $SKX $HON $SPY #FX #INDICES #CRYPTO #Earnings,0,0
32,$AAPL Apple health team faces departures as tensions rise over differing visions for the future -- CNBC,0,0
33,Approaching final add $AMZN,0,0
34,.@Billy on @SquawkAlley says $AAPL making same mistake as @TIDALHiFi. Only taking care of 'top tier' artists.,1,1
35,"""I believe Energous is positioned to become the wireless charging standard across the entire $AAPL ecosystem.""- vintage Padnos 2017",0,0
