id,body,label
0,$AAPL $GOOGL $NFLX $AMZN $SPY on fire,
1,"$TSLA news from Australia. $TSLAQ bears take note. Tesla Australia profit increased from $220,000 in 2016 to $1.36M in 2017 excluding profit from the SA big battery.",
2,"Thats ok.. $GOOG is a great intraday play but siince you missed most of the move, you can kinda wait until next time..",
3,$tsla 305 calls went from .05-1.00+ weeeee,
4,"@DrBatra6 must not forget the good doctor, who told me to look at stocks like $TSLA $BABA $CMG when i was ready to move on from the #turd $TWTR",
5,"Truly, if you are shorting $TSLA at these levels, you are freakin’ crazy",
6,Top #moneyflow for whole #market today$LQD $AMZN $GLD $AABA $TSLA $IWD $AVGO $DIA $JNJ $IJR ...,
7,"$AMZN gap-up today totally changed the 5MA-dead-cross-10MA technical nightmare. 5MA starts to flat and will turn up tmr. Break 858, see 870",
8,A Thematic Review Of The #september Retail Sales Report - #Podcast #investing @EllesEconomy @ChrisJVersace$XLP $XLY $VDC $XRT $VCR $IBUY $RTH $RHS $RETL $FSTA $PBJ $FDIS $FXG $IYK $FXD $IYC $PEJ $PSL $EMTY $SCC $PSCC $XS $NKE $UA $AMZN $WMT $TGT $HABT,
9,"Not 0,5x Sales. And what about if Bezos is successful in finding other businesses to grow into like AWS? How would you value $AMZN then?",
10,@ScottTheCowGuy still believes big American techs like $GOOGL 1047 $AMZN 1520 will lead the markets   @FoxBusiness,
11,Today’s Trading Results Feel Free To Follow alongside @Tradealike $IWM $QQQ $AAPL $EA $SNAP $JD $TSLA $SPY,
12,$AAPL beats 1.85 EPS,
13,$GOOGL NR4 b/o confirmed,
14,Yeah this is way overlooked $TSLA,
15,"Fashion changes, trends lose steam, and Tesla is slowly fading. $tsla",
16,"My note to the folks @HalftimeReport today on AAPL,""considering a buy, but hoped for more than a 1% pullback, so paused to add""",
17,$TSLA adding more calls today Bears will get trampled in short order maybe next several days to weeks this stock will be much higher,
18,Will Shopify Start Rising Again In 2020? @themotleyfool #stocks $AMZN $SHOP,
19,"Agreed.If you want to understand Elon, you have to accept that he's good at lying and showmanship. He's bad at business or creating anything sustainable. People like that will always trade profitability for a good story to sell or sustainability for a lie.$TSLA $TSLAQ",
20,Reporters can only live off credibility. If you make lots of errors you don’t last. Can you folks help me find the errors here? Happy to hear it $TSLA,
21,"#trendfollowing signals, going long $TSLA and $TGS. $VEEV $SUPN $CSX $BLD $BERY $QQQ $SPY",
22,@Lebeaucarnews should we not reading anything into this as well? $TSLA,
23,$AAPL  go baby go . give me easy 0.50 cents,
